Date,Weekday,Holiday
1921-07-04,Monday,IndependenceDay
1921-09-05,Monday,Labor Day
1921-10-12,Wednesday,ColumbusDay
1921-11-08,Tuesday,ElectionDay
1921-11-11,Friday,VeteransDay
1921-11-24,Thursday,Thanks giving
1921-12-26,Monday,Christmas (observed)
1922-01-02,Monday,New Years Day (observed)
1922-02-13,Monday,LincolnsBirthday (observed)
1922-02-22,Wednesday,Washingtons Birthday
1922-04-14,Friday,Good Friday Day
1922-05-30,Tuesday,Memorial Day
1922-06-14,Wednesday,FlagDay
1922-07-04,Tuesday,IndependenceDay
1922-09-04,Monday,Labor Day
1922-10-12,Thursday,ColumbusDay
1922-11-07,Tuesday,ElectionDay
1922-11-30,Thursday,Thanks giving
1922-12-25,Monday,Christmas
1923-01-01,Monday,New Years Day
1923-02-12,Monday,LincolnsBirthday
1923-02-22,Thursday,Washingtons Birthday
1923-03-30,Friday,Good Friday Day
1923-05-30,Wednesday,Memorial Day
1923-06-14,Thursday,FlagDay
1923-07-04,Wednesday,IndependenceDay
1923-08-03,Friday,PresidentialDeath-WarrenHarding
1923-08-10,Friday,PresidentialFuneral-WarrenHarding
1923-09-03,Monday,Labor Day
1923-10-12,Friday,ColumbusDay
1923-11-06,Tuesday,ElectionDay
1923-11-29,Thursday,Thanks giving
1923-12-25,Tuesday,Christmas
1924-01-01,Tuesday,New Years Day
1924-02-12,Tuesday,LincolnsBirthday
1924-02-22,Friday,Washingtons Birthday
1924-04-18,Friday,Good Friday Day
1924-05-30,Friday,Memorial Day
1924-06-13,Friday,FlagDay (observed)
1924-07-04,Friday,IndependenceDay
1924-09-01,Monday,Labor Day
1924-10-13,Monday,ColumbusDay (observed)
1924-11-04,Tuesday,ElectionDay
1924-11-27,Thursday,Thanks giving
1924-12-25,Thursday,Christmas
1925-01-01,Thursday,New Years Day
1925-02-12,Thursday,LincolnsBirthday
1925-02-23,Monday,Washingtons Birthday (observed)
1925-04-10,Friday,Good Friday Day
